,tempmax,Outcome_EXPIRY_sum,Outcome_DAMA_sum,Outcome_DISCHARGE_sum,SMOKING__sum,ALCOHOL_sum,DM_sum,HTN_sum,PRIOR_CMP_sum,readmissions_sum,CKD_sum,SEVERE_ANAEMIA_sum,ANAEMIA_sum,STABLE_ANGINA_sum,ACS_sum,STEMI_sum,ATYPICAL_CHEST_PAIN_sum,HEART_FAILURE_sum,HFREF_sum,HFNEF_sum,VALVULAR_sum,CAD_sum,total_admissions,condition_rainy,TYPE_OF_ADMISSION_EMERGENCY_OPD_sum,temp,dew,humidity,windspeed,winddir,sealevelpressure,PM10 AVG,PM2.5 AVG,visibility,TLC_median,PLATELETS_median,GLUCOSE_median,UREA_median,CREATININE_median,BNP_median,solarenergy,uvindex,tempmin,sun_duration,cloudcover,male_ratio,rural_ratio,EF_median,HB_mean,DURATION_OF_STAY_median,duration_of_intensive_unit_stay_median,average_age,search_HeroDMCHeartInstitute,search_chestpain,cpi_health_PoP,cpi_Food_Beverages_PoP,cpi_health_YoY,vehicles_units_PoP,cpi_FaB,cpi_health,cpi_tobacco_intoxicants,vehicles_units
2017-10-08,38.3,10,14,109,11,11,50,62,21,31,7,0,19,13,43,10,1,30,20,12,0,87,137,0,74,28.52857142857143,12.242857142857144,39.08571428571429,10.94285714285714,268.8428571428572,1008.0714285714286,149.71428571428572,146.14285714285714,2.657142857142857,10.24,213.3571428571429,137.71428571428572,34.885714285714286,0.9878571428571428,675.4499999999999,20.285714285714285,8.0,21.17142857142857,704.6119047619048,0.0,0.6420859648207109,0.3417838874680307,41.471428571428575,12.742423512883414,6.071428571428571,3.071428571428572,60.03168702263514,58.0,60.0,0.05957108816521,-0.23533671252715,2.35198702351987,28.2939683779036,135.9488629031442,127.20729331430393,155.52519801991122,11850
2017-10-15,36.6,3,16,112,5,14,49,64,22,14,13,0,18,12,58,21,3,38,29,9,7,74,124,0,77,28.11428571428572,11.771428571428572,39.42857142857143,9.685714285714283,235.5428571428572,1006.4571428571428,315.0,262.2857142857143,2.0,10.714285714285714,217.0,140.87142857142857,35.785714285714285,1.0235714285714286,649.7071428571428,17.728571428571428,7.142857142857143,21.071428571428573,691.7428571428571,0.1714285714285714,0.6596161750186518,0.3341912043924427,41.9,12.677033124254487,5.285714285714286,1.2857142857142858,60.25286857964876,48.0,22.0,0.05957108816521,-0.23533671252715,2.35198702351987,-24.26778242677824,136.3099451002779,127.32740775060034,156.02511031265215,15404
2017-10-22,36.4,5,11,100,3,4,25,49,24,10,8,2,11,5,48,19,1,24,11,13,2,49,91,0,75,26.585714285714285,6.3,30.6,11.085714285714284,219.62857142857143,1008.2714285714284,319.0,299.0,1.9714285714285715,10.62142857142857,213.6428571428572,139.0,37.71428571428572,1.0617142857142858,692.7142857142857,17.242857142857144,7.0,19.585714285714285,679.1357142857142,0.3571428571428571,0.5561327561327561,0.3096681096681096,41.371428571428574,12.632575757575756,6.214285714285714,2.071428571428572,61.40115440115441,0.0,33.0,0.05957108816521,-0.23533671252715,2.35198702351987,27.3631341034656,136.6515453888269,127.4486986158804,156.51342723232924,14480
2017-10-29,33.7,14,6,93,7,22,64,71,17,16,11,2,17,3,70,24,0,43,21,22,6,76,136,0,109,23.342857142857145,5.371428571428572,34.6,11.914285714285716,146.32857142857142,1013.157142857143,316.2857142857143,326.57142857142856,1.1714285714285713,10.564285714285717,213.5,152.69285714285712,38.35714285714285,0.9878571428571428,735.3214285714286,14.171428571428573,6.142857142857143,15.957142857142856,666.907142857143,0.0,0.6031502456054886,0.273956176673568,41.46428571428572,12.402616409231689,5.428571428571429,1.9285714285714288,61.83479123533471,0.0,65.0,0.05957108816521,-0.23533671252715,2.35198702351987,25.5619528353971,136.9719547356775,127.57117901053766,156.98738941817905,21568
2017-11-05,31.1,8,9,127,10,17,65,81,25,36,11,5,25,14,59,28,6,55,34,21,2,104,173,0,115,21.642857142857142,8.77142857142857,46.35714285714285,9.9,115.17142857142858,1015.5,254.1428571428572,310.1428571428572,0.8142857142857143,9.742857142857144,206.9,150.28571428571428,34.642857142857146,0.9671428571428572,665.6214285714286,10.914285714285716,5.285714285714286,15.585714285714284,655.2380952380953,0.5285714285714286,0.6671230086237393,0.1634353258211497,42.114285714285714,12.294873228276815,5.142857142857143,1.7142857142857142,61.12832411950287,0.0,34.0,0.14263074484944,0.04385964912281,2.08835341365462,-15.90452261306533,137.26946410771595,127.69486203496567,157.44423750943807,22087
2017-11-12,29.7,20,10,148,11,11,66,78,19,26,19,4,23,10,44,20,2,48,40,9,10,94,160,0,76,20.82857142857143,6.485714285714286,42.91428571428571,9.142857142857142,332.42857142857144,1014.9571428571428,317.0,280.7142857142857,0.3999999999999999,10.921428571428573,207.92857142857144,148.33571428571426,39.21428571428572,1.0878571428571429,708.35,11.342857142857143,5.285714285714286,14.414285714285716,644.3190476190476,12.157142857142857,0.6442563388991961,0.2309291898577612,40.521428571428565,12.445933055040198,5.214285714285714,2.4285714285714284,60.3351345083488,0.0,15.0,0.14263074484944,0.04385964912281,2.08835341365462,32.977293098297,137.54236447182856,127.81976078955796,157.88121214534297,20538
2017-11-19,27.1,13,16,140,11,11,73,89,19,23,21,4,26,19,55,24,4,50,37,13,12,99,172,3,90,18.02857142857143,6.271428571428571,49.18571428571429,13.257142857142856,274.04285714285714,1015.0857142857144,230.57142857142856,231.28571428571428,1.042857142857143,11.021428571428572,228.57857142857145,145.45,38.0,1.0335714285714286,726.4878571428571,10.885714285714286,5.142857142857143,12.814285714285717,634.3857142857142,14.8,0.6322467421260131,0.2516623595351149,39.74285714285714,12.05487079306152,4.928571428571429,3.0,59.50133491852952,0.0,24.0,0.14263074484944,0.04385964912281,2.08835341365462,-5.90349941021176,137.78894679490165,127.94588837470813,158.29555396513015,18769
2017-11-26,26.6,17,9,126,11,22,78,73,15,48,18,2,36,11,63,33,2,46,33,13,10,103,167,0,102,16.385714285714286,-1.1285714285714286,33.67142857142857,14.042857142857144,304.4142857142857,1016.0142857142856,235.28571428571428,245.57142857142856,1.1714285714285713,10.65,218.2142857142857,150.02142857142857,37.6,0.9671428571428572,682.6878571428572,13.55714285714286,6.0,9.271428571428572,625.697619047619,8.742857142857144,0.6486690716116181,0.2346508305359237,39.05714285714286,12.190487815755674,5.928571428571429,2.7857142857142856,61.53840646930709,18.0,51.0,0.14263074484944,0.04385964912281,2.08835341365462,44.4424546322827,138.0075020438215,128.0732578908097,158.6845036080364,16040
2017-12-03,27.3,12,11,151,10,16,92,98,35,32,17,6,34,13,67,21,3,63,47,17,7,104,189,0,110,17.585714285714285,-0.2285714285714286,32.714285714285715,11.157142857142857,239.7428571428572,1015.9714285714286,270.0,276.2857142857143,1.0,10.62142857142857,230.0,141.18571428571428,39.21428571428572,0.98,716.9214285714286,12.928571428571429,5.857142857142857,9.7,618.5285714285714,12.114285714285716,0.6431920410368687,0.1722681851992197,39.72857142857144,12.063903511080236,5.142857142857143,2.7142857142857144,62.30527091841747,0.0,20.0,0.14263074484944,0.04385964912281,2.08835341365462,0.96706203248337,138.19632118547435,128.20188243825623,159.0453017132981,15413
2017-12-10,25.6,12,12,145,14,18,65,75,24,24,18,2,25,12,53,26,2,48,42,6,3,107,165,0,84,15.900000000000002,-4.157142857142857,27.514285714285712,13.12857142857143,287.92857142857144,1015.8142857142856,181.0,182.7142857142857,1.0857142857142856,11.407142857142857,228.92857142857144,141.21428571428572,34.357142857142854,0.9171428571428571,647.3928571428571,12.685714285714283,5.857142857142857,8.7,613.1357142857142,27.97142857142857,0.6761441291492443,0.1842162644592312,38.2,12.523434687884816,5.285714285714286,2.4285714285714284,60.68514581941692,0.0,47.0,0.09834775767112,0.40116703136397,2.90322580645161,-4.62936433220089,138.35369518674656,128.3317751174413,159.3751889201519,13490
2017-12-17,23.0,21,11,147,1,7,56,74,19,25,15,4,31,14,65,20,0,39,29,10,7,71,134,3,63,12.014285714285714,3.585714285714286,61.41428571428571,15.528571428571428,250.2428571428572,1019.6714285714286,111.28571428571428,100.14285714285714,1.1,10.525,217.07142857142856,146.59285714285716,37.864285714285714,0.9978571428571428,594.2285714285714,11.157142857142857,5.0,6.314285714285715,609.7523809523809,18.65714285714285,0.6192561873234143,0.2787987922441704,41.50714285714286,12.101016824911785,5.785714285714286,3.7142857142857135,61.970879867098354,0.0,0.0,0.09834775767112,0.40116703136397,2.90322580645161,-8.72532188841202,138.4779150145244,128.46294902875846,159.67140586783432,11972
2017-12-24,26.6,13,12,121,8,8,68,84,17,30,18,4,32,13,66,20,1,52,43,10,8,100,162,0,65,14.728571428571428,2.3,46.58571428571428,16.87142857142857,305.3,1019.1857142857144,166.71428571428572,171.14285714285714,1.1428571428571428,11.035714285714286,234.2142857142857,138.71428571428572,36.07142857142857,0.99,608.0285714285714,11.971428571428572,5.428571428571429,7.528571428571429,608.5190476190476,23.728571428571428,0.6649163006305863,0.179137000565572,39.18571428571429,12.596033120318834,4.428571428571429,2.5,61.6306833378262,0.0,21.0,0.09834775767112,0.40116703136397,2.90322580645161,-13.02017209761603,138.56727163569414,128.59541727260125,159.93119319558195,11715
2017-12-31,24.3,13,13,112,7,14,61,68,20,31,13,4,22,6,46,20,1,38,25,13,4,98,144,0,99,14.328571428571427,-0.3428571428571428,40.44285714285714,13.014285714285716,304.2857142857143,1017.8714285714286,184.1428571428572,227.42857142857144,0.8714285714285713,10.821428571428571,232.02857142857144,140.55714285714285,36.0,0.985,612.2571428571429,11.37142857142857,5.285714285714286,6.871428571428571,609.5023809523809,26.62857142857143,0.6635015848444642,0.1847403435058233,39.24285714285714,12.58341027200354,5.5,3.2857142857142856,61.44296863482235,16.0,15.0,0.09834775767112,0.40116703136397,2.90322580645161,0.69196669910261,139.3,127.6,158.1,10543
2018-01-07,21.3,10,8,178,18,20,109,120,44,46,26,6,52,8,78,25,2,81,72,9,15,173,239,0,187,11.671428571428573,-2.171428571428572,42.68571428571429,11.414285714285716,222.6857142857143,1015.9428571428572,187.57142857142856,214.57142857142856,0.5142857142857142,10.132857142857144,227.37142857142857,148.54724728332891,39.42857142857143,1.015,623.1357142857142,11.7,5.285714285714286,5.2,612.6642857142858,3.357142857142857,0.629560915275201,0.2183913969628255,39.707142857142856,12.098047751615082,5.5,2.571428571428572,62.78818113103828,0.0,18.0,0.05877742946709,-0.16152189519024,2.81350482315113,-9.98604101793192,138.6345591257546,128.864289159438,160.33044154821908,10545
2018-01-14,23.7,18,14,164,8,10,67,88,34,19,20,4,42,9,68,17,2,55,49,10,5,133,173,0,127,13.342857142857143,-2.357142857142857,36.7,14.0,303.04285714285714,1017.6142857142858,148.42857142857142,175.0,1.2,10.028571428571428,237.0,142.37142857142857,36.0,0.9964285714285712,573.3571428571429,12.685714285714283,5.571428571428571,5.685714285714285,617.8690476190476,20.228571428571428,0.6124505829496485,0.2284014341446822,39.92857142857143,11.797314134482315,5.357142857142857,2.2857142857142856,62.52242770339602,0.0,38.0,0.05877742946709,-0.16152189519024,2.81350482315113,-13.58702135273768,138.60907192841782,129.00071900321902,160.4643838515817,11893
2018-01-21,26.0,26,5,162,6,6,62,78,29,20,16,4,25,9,47,16,2,60,50,10,6,113,147,0,108,13.671428571428573,-3.871428571428571,33.25714285714286,15.228571428571428,279.74285714285713,1015.4,120.0,165.85714285714286,1.3,10.514285714285714,226.8571428571429,154.03571428571428,37.21428571428572,1.025,644.8071428571428,14.1,6.285714285714286,5.457142857142857,624.9095238095239,5.0,0.6281284397047944,0.1902172540103574,39.4,12.225036738302748,5.071428571428571,2.0,63.062718562225946,23.0,11.0,0.05877742946709,-0.16152189519024,2.81350482315113,0.79376035339591,138.5418853920182,129.1384955810999,160.5508590919558,12811
2018-01-28,23.3,14,6,94,4,5,28,26,17,6,10,1,13,5,29,8,0,26,23,3,3,53,73,2,58,11.828571428571427,0.7999999999999999,53.41428571428571,12.87142857142857,259.6714285714286,1014.4428571428572,107.71428571428572,113.28571428571428,0.8142857142857143,10.845714285714283,244.72142857142856,150.18571428571428,46.0,1.1078571428571429,831.5428571428572,12.271428571428572,5.571428571428571,5.9,633.5285714285714,17.142857142857142,0.5002862683534952,0.2001492904854249,41.457142857142856,11.97296863360729,5.642857142857143,3.2857142857142856,60.00834795456644,58.0,16.0,0.05877742946709,-0.16152189519024,2.81350482315113,-9.62131068958433,138.43129048344196,129.27763199347422,160.5871079085779,13886
2018-02-04,27.3,17,5,53,5,8,41,55,18,18,6,0,24,9,22,8,2,27,26,1,3,66,97,0,69,15.071428571428571,-0.0142857142857142,39.67142857142857,15.828571428571427,320.7,1015.3285714285714,92.14285714285714,79.0,1.8,10.85,233.07142857142856,142.0,38.57142857142857,0.9571428571428572,611.4357142857143,14.885714285714286,6.285714285714286,8.185714285714285,643.4619047619047,32.08571428571429,0.6147225933977295,0.2106886358247519,42.07857142857143,11.891496463306808,4.428571428571429,1.9285714285714288,63.08343111314981,47.0,0.0,0.2189210320563,-0.15895953757225,4.27419354838711,-4.71283527807244,138.27557816957537,129.4181413407355,160.57037094068463,13412
2018-02-11,25.8,16,2,67,12,14,50,60,28,15,20,1,22,8,49,24,4,52,36,16,6,93,128,1,97,14.171428571428573,-5.085714285714286,29.914285714285715,13.842857142857143,227.1,1015.8571428571428,117.85714285714286,89.85714285714286,1.985714285714285,10.728571428571428,232.7142857142857,148.0,40.142857142857146,1.075,691.8071428571428,14.971428571428572,6.428571428571429,6.642857142857143,654.4357142857143,39.48571428571428,0.6648179271708683,0.3092564298446651,38.15,12.28108121163756,5.285714285714286,2.2857142857142856,62.8768601986249,44.0,30.0,0.2189210320563,-0.15895953757225,4.27419354838711,9.35909669211196,138.07303941730476,129.56003672327734,160.49788882751247,11469
2018-02-18,29.0,13,8,106,11,13,62,85,29,25,23,1,26,15,56,30,2,60,47,13,1,114,150,2,116,15.642857142857142,5.214285714285714,56.48571428571429,21.61428571428572,259.2,1018.2142857142856,71.28571428571429,60.142857142857146,2.185714285714286,10.838571428571427,221.07142857142856,138.46428571428572,40.57142857142857,1.0257142857142856,640.8071428571428,16.485714285714288,7.0,8.72857142857143,666.2023809523808,33.457142857142856,0.5993372967456658,0.2289721547136907,39.85714285714285,12.156777185762406,5.928571428571429,3.071428571428572,61.905461084073885,45.0,31.0,0.2189210320563,-0.15895953757225,4.27419354838711,9.2198065876536,137.8219651935164,129.70333124149323,160.36690220829803,12774
2018-02-25,31.1,10,8,152,11,12,68,74,26,19,7,2,20,23,52,24,4,43,34,9,3,113,158,2,97,20.385714285714283,5.514285714285714,42.04285714285714,13.742857142857144,260.15714285714284,1012.8,99.71428571428572,76.42857142857143,1.985714285714285,10.2,231.2,140.65714285714287,33.857142857142854,0.9571428571428572,577.3071428571428,16.52857142857143,7.142857142857143,13.5,678.5642857142857,47.98571428571428,0.6833390696403067,0.3001471805473746,41.08571428571429,12.51687668287462,5.357142857142857,2.857142857142857,62.67091648091042,0.0,16.0,0.2189210320563,-0.15895953757225,4.27419354838711,7.88229811597098,137.52064646509658,129.84803799577674,160.17465172227784,14026
