,tempmax,Outcome_EXPIRY_sum,Outcome_DAMA_sum,Outcome_DISCHARGE_sum,SMOKING__sum,ALCOHOL_sum,DM_sum,HTN_sum,PRIOR_CMP_sum,readmissions_sum,CKD_sum,SEVERE_ANAEMIA_sum,ANAEMIA_sum,STABLE_ANGINA_sum,ACS_sum,STEMI_sum,ATYPICAL_CHEST_PAIN_sum,HEART_FAILURE_sum,HFREF_sum,HFNEF_sum,VALVULAR_sum,CAD_sum,total_admissions,condition_rainy,TYPE_OF_ADMISSION_EMERGENCY_OPD_sum,temp,dew,humidity,windspeed,winddir,sealevelpressure,PM10 AVG,PM2.5 AVG,visibility,TLC_median,PLATELETS_median,GLUCOSE_median,UREA_median,CREATININE_median,BNP_median,solarenergy,uvindex,tempmin,sun_duration,cloudcover,male_ratio,rural_ratio,EF_median,HB_mean,DURATION_OF_STAY_median,duration_of_intensive_unit_stay_median,average_age,search_HeroDMCHeartInstitute,search_chestpain,cpi_health_PoP,cpi_Food_Beverages_PoP,cpi_health_YoY,vehicles_units_PoP,cpi_FaB,cpi_health,cpi_tobacco_intoxicants,vehicles_units
2018-03-04,31.5,21,11,147,10,15,58,70,19,18,13,2,24,24,53,14,3,47,37,11,6,101,148,1,83,20.9,8.385714285714286,47.771428571428565,15.62857142857143,320.0,1011.4857142857144,70.0,49.71428571428572,2.7,10.188571428571429,232.92857142857144,139.15714285714287,37.57142857142857,1.0307142857142857,628.1642857142857,14.585714285714284,6.0,15.185714285714289,691.342857142857,62.68571428571429,0.6563785838221928,0.2374204742625795,41.25714285714286,12.462692600290955,5.5,2.4285714285714284,61.891654961579775,29.0,31.0,0.2189210320563,-0.15895953757225,4.27419354838711,7.88229811597098,137.16780284733758,129.99417008652148,159.9189685097982,8761
2018-03-11,32.6,11,10,85,11,9,47,58,27,23,11,1,25,8,47,15,2,39,34,5,2,79,116,0,70,21.61428571428572,5.185714285714285,38.08571428571429,16.914285714285715,324.0285714285714,1013.2714285714284,68.42857142857143,53.0,3.0285714285714285,10.571428571428571,232.2142857142857,155.77857142857144,39.36857142857143,1.0207142857142857,694.4857142857143,20.74285714285714,8.142857142857142,13.4,704.3904761904762,20.11428571428572,0.7070818070818071,0.2392290249433106,38.635714285714286,12.224661608233037,5.642857142857143,3.142857142857143,59.30822431536717,0.0,43.0,0.07733952049497,-0.41879096868172,4.26045016077169,7.88229811597098,136.76935390922503,130.14174061412095,159.6076022845311,11941
2018-03-18,35.8,5,6,125,10,7,52,64,32,23,15,1,22,9,33,8,0,31,23,8,8,96,142,0,96,24.042857142857144,2.3857142857142857,28.11428571428572,16.0,289.3428571428572,1009.8857142857142,82.0,82.28571428571429,2.957142857142857,10.828571428571427,225.80714285714288,128.52857142857144,33.285714285714285,0.9742857142857144,512.0142857142857,22.228571428571428,8.428571428571429,15.928571428571429,717.5904761904761,6.1000000000000005,0.6864206110124946,0.2178437539301998,39.98571428571428,12.604500934617713,5.857142857142857,3.2142857142857144,59.37465201499207,0.0,30.0,0.07733952049497,-0.41879096868172,4.26045016077169,15.7544870374474,136.33719350690234,130.29076267896875,159.2565328693645,12090
2018-03-25,36.1,10,3,128,10,12,56,76,13,23,15,1,16,3,34,7,0,21,11,10,2,97,133,3,84,23.97142857142857,6.314285714285715,36.7,16.857142857142858,320.7714285714286,1011.6428571428572,78.57142857142857,75.85714285714286,2.742857142857143,11.428571428571429,228.2142857142857,144.07142857142858,33.91428571428572,0.9528571428571428,524.0,22.142857142857142,8.714285714285714,16.385714285714283,730.8309523809523,11.271428571428572,0.6801968026813228,0.1552026312917511,41.47857142857144,12.795407912520917,5.571428571428571,2.357142857142857,61.069021443689735,0.0,45.0,0.07733952049497,-0.41879096868172,4.26045016077169,11.0770801429301,135.88339633255922,130.44124938145836,158.88198920484163,13764
2018-04-01,39.1,10,3,125,12,7,45,55,30,30,12,0,16,2,28,5,0,26,16,10,4,87,124,0,84,27.25714285714286,-1.5571428571428572,18.485714285714288,18.74285714285714,256.4142857142857,1008.2,74.28571428571429,68.71428571428571,2.742857142857143,11.757142857142856,231.2142857142857,141.18571428571428,35.357142857142854,0.9271428571428572,507.0,24.414285714285715,9.142857142857142,17.357142857142858,744.0238095238094,2.3857142857142857,0.6745905166957799,0.2193778096033735,39.92857142857143,12.497707544474462,5.5,2.2857142857142856,63.430151858723285,50.0,35.0,0.07733952049497,-0.41879096868172,4.26045016077169,-36.16153492647059,135.4200370783853,130.59321382198345,158.50020023150594,15641
2018-04-08,39.3,5,1,98,11,4,46,67,23,59,10,3,25,7,26,6,2,21,8,13,3,87,122,1,93,29.142857142857142,7.785714285714286,28.5,14.0,210.1142857142857,1007.9142857142856,74.0,50.285714285714285,2.642857142857143,9.95,215.7142857142857,139.14285714285714,35.5,0.9621428571428572,562.0928571428572,20.77142857142857,8.0,21.61428571428572,757.0761904761904,29.52857142857143,0.5650535652857634,0.1416842760496011,42.6,12.231952880567432,5.857142857142857,2.571428571428572,61.65035792094616,0.0,23.0,0.15420200462606,-0.24074074074074,4.06698564593301,29.5959686853235,134.95919043657028,130.74666910093748,158.12739488990087,11668
2018-04-15,39.0,2,3,127,3,7,47,63,20,40,2,1,17,8,38,16,2,27,13,14,2,100,125,3,87,27.642857142857142,10.157142857142858,38.35714285714285,15.9,267.35714285714283,1008.7571428571428,70.0,61.42857142857143,3.3285714285714287,10.214285714285714,226.3571428571429,143.85,32.07142857142857,0.8407142857142856,506.15,21.8,8.714285714285714,19.82857142857143,769.8833333333333,39.01428571428572,0.6167133520074696,0.2535931039082299,42.15714285714286,12.2356387555022,5.428571428571429,2.0,63.91496598639456,0.0,31.0,0.15420200462606,-0.24074074074074,4.06698564593301,1.79141785863075,134.51293109930384,130.90162831871407,157.7798021205697,14335
2018-04-22,39.9,5,2,111,1,3,21,57,18,25,8,2,19,6,43,26,2,21,8,13,5,70,97,3,72,29.1,6.785714285714286,27.685714285714287,24.442857142857143,274.1,1006.9142857142856,71.71428571428571,61.285714285714285,2.942857142857143,10.460714285714284,264.45,124.0,32.92857142857143,0.9571428571428572,594.875,25.071428571428573,9.571428571428571,20.97142857142857,782.3238095238095,9.671428571428573,0.664555229206307,0.1313598759661967,40.56428571428571,12.155875354094206,6.214285714285714,3.357142857142857,61.68734764656851,34.0,11.0,0.15420200462606,-0.24074074074074,4.06698564593301,14.5156889495225,134.09333375877566,131.05810457570672,157.47365086405597,12459
2018-04-29,43.3,8,2,101,3,2,18,41,16,23,6,0,10,17,26,10,2,14,5,9,1,57,82,1,54,32.614285714285714,3.7714285714285714,18.342857142857145,18.557142857142857,250.72857142857143,1003.9,142.85714285714286,131.28571428571428,2.942857142857143,10.512857142857143,246.8571428571429,137.07142857142858,33.628571428571426,1.0607142857142855,516.6714285714286,25.957142857142856,9.428571428571429,23.385714285714283,794.2714285714285,9.857142857142858,0.7207276850133992,0.1532699443413729,39.07142857142857,12.520816455370026,4.714285714285714,3.0,62.81909400123686,0.0,0.0,0.15420200462606,-0.24074074074074,4.06698564593301,13.0331188944484,133.7124731071754,131.21611097230897,157.22517006090297,14502
2018-05-06,43.9,3,1,85,8,6,35,60,15,26,10,0,15,14,43,17,4,28,11,17,1,84,111,2,87,33.67142857142857,8.514285714285714,23.857142857142858,22.785714285714285,171.84285714285716,1004.6142857142858,143.42857142857142,124.57142857142856,3.142857142857143,9.321428571428571,230.77142857142857,153.8857142857143,35.285714285714285,0.915,574.0571428571428,25.87142857142857,9.571428571428571,25.95714285714286,805.5500000000001,10.3,0.6354050711193568,0.0954854669140383,43.17142857142857,12.55865924551639,4.714285714285714,3.2857142857142856,59.094124922696345,0.0,46.0,0.10727969348659,-0.04487658937921,-16.89627870150436,-26.96037099494098,133.3824238366927,131.37566931477681,157.0505886516541,10378
