,tempmax,PM2.5 AVG,condition_rainy,tempmin,temp,dew,humidity,windspeed,winddir,sealevelpressure,visibility,solarenergy,uvindex,sun_duration,cloudcover,search_hospital,vehicles_units_PoP,cpi_health_PoP,cpi_health_YoY,cpi_Food_Beverages_PoP,cpi_FaB_distributed,cpi_tobacco_intoxicants__distributed,vehicles_units
2022-08-21,28.1,70.0,0,11.175,19.45,8.55,53.575,28.725,115.85,1021.65,10.6,23.4,10.0,724.5416666666667,49.15,40,-6.8211052875,0.075,0.375,0.125,36.6225,29.7025,17550
2022-08-28,24.0,77.0,2,13.7,17.285714285714285,10.571428571428571,66.11428571428571,20.814285714285717,119.47142857142858,1022.3142857142856,10.228571428571428,15.071428571428571,7.571428571428571,724.85,85.92857142857143,28,-6.8211052875,0.075,0.375,0.125,36.6225,29.7025,19030
2022-09-04,26.1,121.0,0,13.414285714285716,18.27142857142857,11.242857142857144,65.75714285714285,20.685714285714287,109.57142857142856,1021.9571428571428,10.171428571428573,16.914285714285715,8.571428571428571,725.2595238095238,81.67142857142858,29,7.6639585925,0.025,0.4,0.075,36.7325,29.8225,20635
2022-09-11,25.9,88.0,1,14.16,17.34,12.64,75.47999999999999,17.94,78.52000000000001,1022.56,10.12,12.16,7.6,725.6266666666667,88.14,22,7.6639585925,0.025,0.4,0.075,36.7325,29.8225,22155
2022-09-18,26.0,71.0,0,14.44285714285714,18.685714285714287,11.414285714285716,64.54285714285713,24.11428571428572,114.61428571428571,1022.0857142857144,10.285714285714286,16.785714285714285,8.428571428571429,726.145238095238,84.22857142857143,0,7.6639585925,0.025,0.4,0.075,36.7325,29.8225,23294
2022-09-25,27.1,63.0,0,14.971428571428572,20.042857142857144,10.87142857142857,58.642857142857146,47.68571428571429,103.07142857142856,1021.3571428571428,10.257142857142856,27.0,10.0,726.6285714285714,72.87142857142858,0,7.6639585925,0.025,0.4,0.075,36.7325,29.8225,23749
2022-10-02,28.0,84.0,0,13.8,19.97142857142857,10.94285714285714,59.55714285714286,29.485714285714288,106.78571428571428,1021.4,10.385714285714286,23.685714285714287,10.0,727.1190476190476,70.2,24,3.434961388,0.02,0.32,0.2799999999999999,29.798,24.358,23220
2022-10-09,27.0,75.0,0,14.414285714285716,19.285714285714285,11.214285714285714,62.15714285714286,28.585714285714285,114.51428571428572,1021.4428571428572,10.2,21.74285714285714,10.0,727.6285714285714,74.77142857142857,0,3.434961388,0.02,0.32,0.2799999999999999,29.798,24.358,21637
2022-10-16,27.1,66.0,1,13.585714285714287,19.814285714285717,9.2,53.3,30.22857142857143,85.01428571428572,1021.657142857143,10.242857142857144,23.842857142857145,10.0,728.1428571428571,59.35714285714285,11,3.434961388,0.02,0.32,0.2799999999999999,29.798,24.358,19541
2022-10-23,28.0,65.0,2,15.585714285714284,20.542857142857144,10.857142857142858,57.271428571428565,30.67142857142857,88.11428571428571,1022.3285714285714,10.44285714285714,24.685714285714287,9.857142857142858,728.6595238095239,72.82857142857144,40,3.434961388,0.02,0.32,0.2799999999999999,29.798,24.358,17569
2022-10-30,28.9,46.0,0,16.87142857142857,21.87142857142857,11.071428571428571,54.02857142857143,28.77142857142857,84.47142857142856,1021.0,10.242857142857144,25.585714285714285,10.0,729.1809523809524,64.74285714285715,33,3.434961388,0.02,0.32,0.2799999999999999,29.798,24.358,16360
2022-11-06,26.1,44.0,3,15.914285714285716,19.342857142857145,13.3,70.61428571428571,24.82857142857143,70.9,1019.8142857142856,12.928571428571429,18.414285714285715,8.571428571428571,729.6761904761905,82.87142857142858,15,-7.6197201175,0.05,0.425,0.15,37.4725,30.7525,16476
2022-11-13,27.0,49.0,1,16.928571428571427,20.357142857142858,13.185714285714283,65.98571428571428,30.842857142857135,71.8,1021.6857142857144,10.3,22.085714285714285,9.428571428571429,730.1523809523809,78.51428571428572,33,-7.6197201175,0.05,0.425,0.15,37.4725,30.7525,17721
2022-11-20,25.0,47.0,1,15.357142857142858,18.714285714285715,14.385714285714286,77.77142857142857,25.485714285714288,65.62857142857143,1021.1428571428572,10.157142857142857,16.514285714285712,8.285714285714286,730.5904761904761,86.60000000000001,13,-7.6197201175,0.05,0.425,0.15,37.4725,30.7525,19470
2022-11-27,26.7,44.0,3,15.985714285714286,19.1,13.77142857142857,73.12857142857143,29.0,65.71428571428571,1020.6428571428572,10.228571428571428,20.814285714285717,9.571428571428571,730.9761904761905,77.95714285714287,16,-7.6197201175,0.05,0.425,0.15,37.4725,30.7525,21095
2022-12-04,25.1,54.0,1,16.02857142857143,19.285714285714285,13.714285714285714,72.64285714285714,36.971428571428575,68.51428571428572,1019.2714285714284,10.357142857142858,23.285714285714285,10.0,731.2880952380953,73.61428571428571,33,6.747922438000001,0.02,0.3399999999999999,0.06,37.5825,30.7825,21977
2022-12-11,26.1,46.0,2,16.62857142857143,19.942857142857143,13.842857142857142,70.04285714285714,27.542857142857144,66.7,1020.8,10.328571428571427,21.085714285714285,9.571428571428571,731.5333333333334,79.48571428571428,18,6.747922438000001,0.02,0.3399999999999999,0.06,37.5825,30.7825,21877
2022-12-18,26.1,56.0,0,16.214285714285715,19.785714285714285,13.471428571428572,69.45714285714286,29.3,64.18571428571428,1019.9571428571428,10.185714285714283,25.67142857142857,10.0,731.6738095238095,76.10000000000001,13,6.747922438000001,0.02,0.3399999999999999,0.06,37.5825,30.7825,21011
2022-12-25,27.0,75.0,0,16.2,20.814285714285717,12.9,62.971428571428575,29.457142857142856,60.8,1019.5714285714286,10.242857142857144,19.77142857142857,9.428571428571429,731.7166666666666,71.44285714285715,0,6.747922438000001,0.02,0.3399999999999999,0.06,37.5825,30.7825,19623
2023-01-01,27.1,56.0,1,15.614285714285714,19.714285714285715,12.085714285714284,63.957142857142856,32.51428571428571,65.48571428571428,1022.5142857142856,10.357142857142858,24.12857142857143,9.857142857142858,731.6547619047618,69.78571428571429,0,-3.469575624,0.1,0.42,0.04,30.128,24.872,17957
2023-01-08,27.0,63.0,0,14.8,19.285714285714285,11.728571428571428,64.5,33.15714285714286,65.88571428571429,1021.9,10.214285714285714,24.27142857142857,9.571428571428571,731.5,57.31428571428571,34,-3.469575624,0.1,0.42,0.04,30.128,24.872,16255
2023-01-15,27.0,69.0,0,15.342857142857143,20.685714285714287,11.157142857142857,57.48571428571428,32.357142857142854,62.82857142857143,1021.0285714285714,10.342857142857143,26.6,10.0,731.2523809523809,54.57142857142857,13,-3.469575624,0.1,0.42,0.04,30.128,24.872,14762
2023-01-22,29.0,81.0,0,14.4,21.185714285714287,9.085714285714284,49.68571428571429,32.857142857142854,61.81428571428571,1019.9571428571428,10.285714285714286,26.2,9.857142857142858,730.9190476190477,41.871428571428574,30,-3.469575624,0.1,0.42,0.04,30.128,24.872,13722
2023-01-29,29.0,73.0,0,14.885714285714286,21.142857142857142,9.228571428571428,50.12857142857143,32.142857142857146,66.34285714285714,1019.2571428571428,10.457142857142856,26.27142857142857,9.714285714285714,730.5214285714285,47.01428571428572,23,-3.469575624,0.1,0.42,0.04,30.128,24.872,13378
