,tempmax,PM2.5 AVG,tempmin,condition_rainy,temp,dew,humidity,windspeed,winddir,sealevelpressure,visibility,solarenergy,sun_duration,cloudcover,search_hospital,cpi_health_PoP,cpi_Food_Beverages_PoP,cpi_health_YoY,vehicles_units_PoP,uvindex,cpi_FaB,cpi_health,cpi_tobacco_intoxicants,vehicles_units,cpi_tobacco_intoxicants_distributed,cpi_FaB_distributed
2022-03-20,40.1,246.0,18.32857142857143,0,27.0,9.985714285714286,39.6,18.3,163.5142857142857,1006.157142857143,20.6,20.785714285714285,721.4285714285714,7.257142857142858,85,0.13181019332162,0.20148791072535,6.71641791044775,8.77231409484175,8.714285714285714,163.18417441532233,170.9548501331704,206.2162060751246,7171,48.2,41.55
2022-03-27,39.9,182.0,18.12857142857143,0,27.085714285714285,0.8714285714285716,22.11428571428572,18.17142857142857,251.8571428571429,1006.6,20.685714285714287,23.25714285714286,734.6714285714286,8.685714285714285,67,0.13181019332162,0.20148791072535,6.71641791044775,-3.20177204993959,9.0,163.19202263390392,171.152608719389,206.29724426964736,8655,48.2,41.55
2022-04-03,41.2,170.0,19.97142857142857,0,29.3,-3.071428571428572,16.02857142857143,14.757142857142856,198.6428571428572,1006.1285714285714,20.67142857142857,25.15714285714285,747.8333333333334,0.3999999999999999,0,0.13181019332162,0.20148791072535,33.6448598130841,5.57520282920741,9.285714285714286,163.21750821143195,171.35038185826363,206.40215409781865,9190,48.425,42.1
2022-04-10,43.1,145.0,22.02857142857143,0,31.2,-2.3428571428571425,14.428571428571429,17.428571428571427,285.35714285714283,1006.6,20.65714285714285,25.9,760.8261904761904,10.385714285714284,76,0.0437062937063,0.16912669126691,33.8785046728972,5.78325123152709,9.857142857142858,163.2632130589144,171.54815283108556,206.53282963911988,8439,48.425,42.1
2022-04-17,43.6,201.0,23.75714285714286,1,32.028571428571425,2.771428571428572,18.32857142857143,18.82857142857143,207.8857142857143,1002.0428571428572,20.728571428571428,24.728571428571428,773.5452380952381,33.74285714285714,24,0.0437062937063,0.16912669126691,33.8785046728972,-13.74685666387259,9.571428571428571,163.33171908735937,171.7459049191462,206.69091106179883,7635,48.425,42.1
2022-04-24,43.2,131.0,24.585714285714285,2,32.2,5.628571428571428,22.014285714285712,23.185714285714287,240.8428571428572,1005.4857142857144,20.67142857142857,25.785714285714285,785.8571428571429,31.214285714285715,0,0.0437062937063,0.16912669126691,33.8785046728972,16.4777021919879,9.714285714285714,163.42560820777487,171.94362140373693,206.87802341752743,8393,48.425,42.1
2022-05-01,44.9,189.0,26.77142857142857,1,34.785714285714285,3.128571428571429,15.400000000000002,22.11428571428572,282.18571428571425,1001.9714285714286,20.728571428571428,27.214285714285715,797.6333333333333,12.87142857142857,0,0.0437062937063,0.16912669126691,33.8785046728972,11.2264763140818,9.857142857142858,163.5474623311689,172.1412855661491,207.0957917579778,8225,48.475,42.7
2022-05-08,42.8,199.0,26.414285714285715,1,33.15714285714286,9.7,26.7,22.37142857142857,125.31428571428572,1003.0,20.742857142857144,26.5,808.6880952380952,13.942857142857145,0,0.18906340895869,0.32070861331705,7.17821782178218,-9.78496416069345,9.857142857142858,163.6998633685496,172.3388806876741,207.3458411348218,7944,48.475,42.7
2022-05-15,47.7,185.0,28.485714285714288,0,36.54285714285714,6.628571428571428,20.02857142857143,21.842857142857145,168.25714285714284,998.5142857142856,20.9,28.357142857142858,818.8404761904761,3.871428571428571,42,0.18906340895869,0.32070861331705,7.17821782178218,-12.24131559497413,10.0,163.8853932309249,172.53639004960328,207.62979659973163,8243,48.475,42.7
2022-05-22,46.4,227.0,29.214285714285715,1,36.5,5.728571428571429,17.52857142857143,22.885714285714283,161.82857142857142,997.0142857142856,20.82857142857143,27.25714285714286,827.8785714285714,29.185714285714287,23,0.18906340895869,0.32070861331705,7.17821782178218,16.4543636172229,10.0,164.10663382930292,172.73379693322804,207.94928320437919,8347,48.475,42.7
2022-05-29,42.6,127.0,25.25714285714286,3,31.97142857142857,13.885714285714286,36.68571428571429,23.65714285714285,110.38571428571429,999.9285714285714,20.185714285714287,27.27142857142857,835.5571428571428,20.857142857142858,42,0.18906340895869,0.32070861331705,7.17821782178218,-1.54583258000362,10.0,164.3661670746916,172.9310846198397,208.30592600043647,8548,38.82,34.66
2022-06-05,45.1,83.0,29.785714285714285,0,37.1,2.9285714285714284,14.4,19.8,171.29999999999998,998.2142857142856,20.74285714285714,29.342857142857145,841.6857142857143,10.642857142857142,52,0.06928406466513,-0.01206272617612,4.95169082125606,-7.50160683132862,10.0,164.66609917536258,173.1282363907297,208.684867134205,7435,38.82,34.66
2022-06-12,46.2,240.0,31.728571428571428,3,38.9,5.371428571428572,14.114285714285714,21.085714285714285,267.3857142857143,995.9571428571428,20.728571428571428,27.485714285714288,846.0571428571428,25.0,0,0.06928406466513,-0.01206272617612,4.95169082125606,5.66805638276752,10.0,165.00386303590426,173.3252355271894,208.90932068962644,7955,38.82,34.66
2022-06-19,46.1,201.0,28.11428571428572,6,34.55714285714286,15.37142857142857,36.94285714285714,23.3,197.1142857142857,999.0571428571428,20.31428571428572,26.014285714285712,848.5119047619047,35.857142857142854,81,0.06928406466513,-0.01206272617612,4.95169082125606,0.66697980272428,9.714285714285714,165.37423904244636,173.52206531051016,208.71059207029637,7488,38.82,34.66
2022-06-26,42.3,240.0,27.057142857142857,3,32.81428571428571,14.87142857142857,37.971428571428575,19.857142857142858,174.62857142857143,1000.1,20.52857142857143,26.885714285714283,848.9738095238096,27.528571428571432,37,0.06928406466513,-0.01206272617612,4.95169082125606,1.17581187010078,9.714285714285714,165.77197713614345,173.7187090219833,207.81893177386684,7866,38.82,34.66
2022-07-03,45.8,132.0,28.62857142857143,3,34.042857142857144,21.785714285714285,52.74285714285714,22.97142857142857,134.68571428571428,997.3285714285714,20.32857142857143,23.414285714285715,847.4214285714286,41.62857142857143,19,0.06928406466513,-0.01206272617612,4.95169082125606,-13.12488470761852,8.714285714285714,166.19182725815023,173.91514994290026,205.97290944416352,7561,48.575,43.725
2022-07-10,42.8,84.0,28.357142857142858,5,33.4,23.071428571428573,56.885714285714286,19.24285714285714,128.62857142857143,999.2428571428572,19.77142857142857,20.985714285714288,843.9309523809524,55.771428571428565,42,0.12945914844649,0.28666264333132,5.11432009626956,5.27656863785965,8.428571428571429,166.62853934962135,174.11137135455238,203.18593466527167,7669,48.575,43.725
2022-07-17,39.6,91.0,26.985714285714288,7,31.61428571428571,23.085714285714285,62.6,17.27142857142857,100.72857142857144,999.8,19.97142857142857,20.9,838.6261904761905,51.94285714285714,17,0.12945914844649,0.28666264333132,5.11432009626956,-3.37837837837838,9.0,167.07686335171135,174.30735653823106,199.802642285603,5821,48.575,43.725
